OrderID;RegionID;Status
10385;3;Archived
10386;3;Archived
10387;3;Archived
10388;3;Archived
10389;3;Archived
10390;3;Archived
10391;3;Archived
10392;3;Archived
10393;3;Archived
10394;3;Archived
10395;3;Archived
10396;3;Archived
10397;3;Archived
10398;3;Archived
10399;3;Archived
10248;1;Archived
10249;1;Archived
10250;1;Archived
10251;1;Archived
10252;1;Archived
10253;1;Archived
10254;1;Archived
10255;1;Archived
10256;1;Archived
10257;1;Archived
10258;1;Archived
10259;1;Archived
10260;1;Archived
10261;1;Archived
10262;1;Archived
10263;1;Archived
10264;1;Archived
10265;1;Archived
10266;1;Archived
10267;1;Archived
10268;1;Archived
10269;1;Archived
10270;1;Archived
10271;1;Archived
10272;1;Archived
10273;1;Archived
10274;1;Archived
10275;1;Archived
10276;1;Archived
10277;1;Archived
10278;1;Archived
10279;1;Archived
10280;1;Archived
10281;1;Archived
10282;1;Archived
10283;1;Archived
10284;1;Archived
10285;1;Archived
10286;1;Archived
10287;1;Archived
10288;1;Archived
10289;1;Archived
10290;1;Archived
10291;1;Archived
10292;1;Archived
10293;1;Archived
10294;1;Archived
10295;1;Archived
10296;1;Archived
10297;1;Archived
10298;1;Archived
10299;1;Archived
10300;1;Archived
10301;1;Archived
10302;1;Archived
10303;1;Archived
10304;1;Archived
10305;1;Archived
10306;1;Archived
10307;1;Archived
10308;1;Archived
10309;1;Archived
10310;1;Archived
10311;1;Archived
10312;1;Archived
10313;1;Archived
10314;1;Archived
10315;1;Archived
10316;1;Archived
10317;1;Archived
10318;1;Archived
10319;1;Archived
10320;1;Archived
10321;1;Archived
10322;1;Archived
10323;1;Archived
10324;1;Archived
10325;1;Archived
10326;1;Archived
10327;1;Archived
10328;1;Archived
10329;1;Archived
10330;1;Archived
10331;1;Archived
10332;1;Archived
10333;1;Archived
10334;1;Archived
10335;1;Archived
10336;1;Archived
10337;1;Archived
10338;1;Archived
10339;1;Archived
10340;1;Archived
10341;1;Archived
10342;1;Archived
10343;1;Archived
10344;1;Archived
10345;1;Archived
10346;1;Archived
10347;1;Archived
10348;1;Archived
10349;1;Archived
10350;1;Archived
10351;1;Archived
10352;1;Archived
10353;1;Archived
10354;1;Archived
10355;1;Archived
10356;1;Archived
10357;1;Archived
10358;1;Archived
10359;1;Archived
10360;1;Archived
10361;1;Archived
10362;1;Archived
10363;1;Archived
10364;1;Archived
10365;1;Archived
10366;1;Archived
10367;1;Archived
10368;1;Archived
10369;1;Archived
10370;1;Archived
10371;1;Archived
10372;1;Archived
10373;1;Archived
10374;1;Archived
10375;1;Archived
10376;1;Archived
10377;1;Archived
10378;1;Archived
10379;1;Archived
10380;1;Archived
10381;1;Archived
10382;1;Archived
10383;1;Archived
10384;1;Archived
10385;1;Archived
10386;1;Archived
10387;1;Archived
10388;1;Archived
10389;1;Archived
10390;1;Archived
10391;1;Archived
10392;1;Archived
10393;1;Archived
10394;1;Archived
10395;1;Archived
10396;1;Archived
10397;1;Archived
10398;1;Archived
10399;1;Archived
10248;4;Archived
10249;4;Archived
10250;4;Archived
10251;4;Archived
10252;4;Archived
10253;4;Archived
10254;4;Archived
10255;4;Archived
10256;4;Archived
10257;4;Archived
10258;4;Archived
10259;4;Archived
10260;4;Archived
10261;4;Archived
10262;4;Archived
10263;4;Archived
10264;4;Archived
10265;4;Archived
10266;4;Archived
10267;4;Archived
10268;4;Archived
10269;4;Archived
10270;4;Archived
10271;4;Archived
10272;4;Archived
10273;4;Archived
10274;4;Archived
10275;4;Archived
10276;4;Archived
10277;4;Archived
10278;4;Archived
10279;4;Archived
10280;4;Archived
10281;4;Archived
10282;4;Archived
10283;4;Archived
10284;4;Archived
10285;4;Archived
10286;4;Archived
10287;4;Archived
10288;4;Archived
10289;4;Archived
10290;4;Archived
10291;4;Archived
10292;4;Archived
10293;4;Archived
10294;4;Archived
10295;4;Archived
10296;4;Archived
10297;4;Archived
10298;4;Archived
10299;4;Archived
10300;4;Archived
10301;4;Archived
10302;4;Archived
10303;4;Archived
10304;4;Archived
10305;4;Archived
10306;4;Archived
10307;4;Archived
10308;4;Archived
10309;4;Archived
10310;4;Archived
10311;4;Archived
10312;4;Archived
10313;4;Archived
10314;4;Archived
10315;4;Archived
10316;4;Archived
10317;4;Archived
10318;4;Archived
10319;4;Archived
10320;4;Archived
10321;4;Archived
10322;4;Archived
10323;4;Archived
10324;4;Archived
10325;4;Archived
10326;4;Archived
10327;4;Archived
10328;4;Archived
10329;4;Archived
10330;4;Archived
10331;4;Archived
10332;4;Archived
10333;4;Archived
10334;4;Archived
10335;4;Archived
10336;4;Archived
10337;4;Archived
10338;4;Archived
10339;4;Archived
10340;4;Archived
10341;4;Archived
10342;4;Archived
10343;4;Archived
10344;4;Archived
10345;4;Archived
10346;4;Archived
10347;4;Archived
10348;4;Archived
10349;4;Archived
10350;4;Archived
10351;4;Archived
10352;4;Archived
10353;4;Archived
10354;4;Archived
10355;4;Archived
10356;4;Archived
10357;4;Archived
10358;4;Archived
10359;4;Archived
10360;4;Archived
10361;4;Archived
10362;4;Archived
10363;4;Archived
10364;4;Archived
10365;4;Archived
10366;4;Archived
10367;4;Archived
10368;4;Archived
10369;4;Archived
10370;4;Archived
10371;4;Archived
10372;4;Archived
10373;4;Archived
10374;4;Archived
10375;4;Archived
10376;4;Archived
10377;4;Archived
10378;4;Archived
10379;4;Archived
10380;4;Archived
10381;4;Archived
10382;4;Archived
10383;4;Archived
10384;4;Archived
10385;4;Archived
10386;4;Archived
10387;4;Archived
10388;4;Archived
10389;4;Archived
10390;4;Archived
10391;4;Archived
10392;4;Archived
10393;4;Archived
10394;4;Archived
10395;4;Archived
10396;4;Archived
10397;4;Archived
10398;4;Archived
10399;4;Archived
10248;2;Archived
10249;2;Archived
10250;2;Archived
10251;2;Archived
10252;2;Archived
10253;2;Archived
10254;2;Archived
10255;2;Archived
10256;2;Archived
10257;2;Archived
10258;2;Archived
10259;2;Archived
10260;2;Archived
10261;2;Archived
10262;2;Archived
10263;2;Archived
10264;2;Archived
10265;2;Archived
10266;2;Archived
10267;2;Archived
10268;2;Archived
10269;2;Archived
10270;2;Archived
10271;2;Archived
10272;2;Archived
10273;2;Archived
10274;2;Archived
10275;2;Archived
10276;2;Archived
10277;2;Archived
10278;2;Archived
10279;2;Archived
10280;2;Archived
10281;2;Archived
10282;2;Archived
10283;2;Archived
10284;2;Archived
10285;2;Archived
10286;2;Archived
10287;2;Archived
10288;2;Archived
10289;2;Archived
10290;2;Archived
10291;2;Archived
10292;2;Archived
10293;2;Archived
10294;2;Archived
10295;2;Archived
10296;2;Archived
10297;2;Archived
10298;2;Archived
10299;2;Archived
10300;2;Archived
10301;2;Archived
10302;2;Archived
10303;2;Archived
10304;2;Archived
10305;2;Archived
10306;2;Archived
10307;2;Archived
10308;2;Archived
10309;2;Archived
10310;2;Archived
10311;2;Archived
10312;2;Archived
10313;2;Archived
10314;2;Archived
10315;2;Archived
10316;2;Archived
10317;2;Archived
10318;2;Archived
10319;2;Archived
10320;2;Archived
10321;2;Archived
10322;2;Archived
10323;2;Archived
10324;2;Archived
10325;2;Archived
10326;2;Archived
10327;2;Archived
10328;2;Archived
10329;2;Archived
10330;2;Archived
10331;2;Archived
10332;2;Archived
10333;2;Archived
10334;2;Archived
10335;2;Archived
10336;2;Archived
10337;2;Archived
10338;2;Archived
10339;2;Archived
10340;2;Archived
10341;2;Archived
10342;2;Archived
10343;2;Archived
10344;2;Archived
10345;2;Archived
10346;2;Archived
10347;2;Archived
10348;2;Archived
10349;2;Archived
10350;2;Archived
10351;2;Archived
10352;2;Archived
10353;2;Archived
10354;2;Archived
10355;2;Archived
10356;2;Archived
10357;2;Archived
10358;2;Archived
10359;2;Archived
10360;2;Archived
10361;2;Archived
10362;2;Archived
10363;2;Archived
10364;2;Archived
10365;2;Archived
10366;2;Archived
10367;2;Archived
10368;2;Archived
10369;2;Archived
10370;2;Archived
10371;2;Archived
10372;2;Archived
10373;2;Archived
10374;2;Archived
10375;2;Archived
10376;2;Archived
10377;2;Archived
10378;2;Archived
10379;2;Archived
10380;2;Archived
10381;2;Archived
10382;2;Archived
10383;2;Archived
10384;2;Archived
10385;2;Archived
10386;2;Archived
10387;2;Archived
10388;2;Archived
10389;2;Archived
10390;2;Archived
10391;2;Archived
10392;2;Archived
10393;2;Archived
10394;2;Archived
10395;2;Archived
10396;2;Archived
10397;2;Archived
10398;2;Archived
10399;2;Archived
