OrderID;CustomerName;ShipperName;OrderDate;RequiredDate;GlobalID
10273;QUICK-Stop;Federal Shipping;1996-08-05 00:00:00;1996-09-02 00:00:00;26
10274;Vins et alcools Chevalier;Speedy Express;1996-08-06 00:00:00;1996-09-03 00:00:00;27
10275;Magazzini Alimentari Riuniti;Speedy Express;1996-08-07 00:00:00;1996-09-04 00:00:00;28
10276;Tortuga Restaurante;Federal Shipping;1996-08-08 00:00:00;1996-08-22 00:00:00;29
10277;Morgenstern Gesundkost;Federal Shipping;1996-08-09 00:00:00;1996-09-06 00:00:00;30
10278;Berglunds snabbköp;United Package;1996-08-12 00:00:00;1996-09-09 00:00:00;31
10279;Lehmanns Marktstand;United Package;1996-08-13 00:00:00;1996-09-10 00:00:00;32
10280;Berglunds snabbköp;Speedy Express;1996-08-14 00:00:00;1996-09-11 00:00:00;33
10281;Romero y tomillo;Speedy Express;1996-08-14 00:00:00;1996-08-28 00:00:00;34
10282;Romero y tomillo;Speedy Express;1996-08-15 00:00:00;1996-09-12 00:00:00;35
10283;LILA-Supermercado;Federal Shipping;1996-08-16 00:00:00;1996-09-13 00:00:00;36
10284;Lehmanns Marktstand;Speedy Express;1996-08-19 00:00:00;1996-09-16 00:00:00;37
10285;QUICK-Stop;United Package;1996-08-20 00:00:00;1996-09-17 00:00:00;38
10286;QUICK-Stop;Federal Shipping;1996-08-21 00:00:00;1996-09-18 00:00:00;39
10287;Ricardo Adocicados;Federal Shipping;1996-08-22 00:00:00;1996-09-19 00:00:00;40
10288;Reggiani Caseifici;Speedy Express;1996-08-23 00:00:00;1996-09-20 00:00:00;41
10289;B's Beverages;Federal Shipping;1996-08-26 00:00:00;1996-09-23 00:00:00;42
10290;Comércio Mineiro;Speedy Express;1996-08-27 00:00:00;1996-09-24 00:00:00;43
10291;Que Delícia;United Package;1996-08-27 00:00:00;1996-09-24 00:00:00;44
10292;Tradiçao Hipermercados;United Package;1996-08-28 00:00:00;1996-09-25 00:00:00;45
10293;Tortuga Restaurante;Federal Shipping;1996-08-29 00:00:00;1996-09-26 00:00:00;46
10294;Rattlesnake Canyon Grocery;United Package;1996-08-30 00:00:00;1996-09-27 00:00:00;47
10295;Vins et alcools Chevalier;United Package;1996-09-02 00:00:00;1996-09-30 00:00:00;48
10296;LILA-Supermercado;Speedy Express;1996-09-03 00:00:00;1996-10-01 00:00:00;49
10297;Blondesddsl pere et fils;United Package;1996-09-04 00:00:00;1996-10-16 00:00:00;50
10298;Hungry Owl All-Night Grocers;United Package;1996-09-05 00:00:00;1996-10-03 00:00:00;51
10299;Ricardo Adocicados;United Package;1996-09-06 00:00:00;1996-10-04 00:00:00;52
10300;Magazzini Alimentari Riuniti;United Package;1996-09-09 00:00:00;1996-10-07 00:00:00;53
10301;Die Wandernde Kuh;United Package;1996-09-09 00:00:00;1996-10-07 00:00:00;54
10302;Supremes délices;United Package;1996-09-10 00:00:00;1996-10-08 00:00:00;55
10303;Godos Cocina Típica;United Package;1996-09-11 00:00:00;1996-10-09 00:00:00;56
10304;Tortuga Restaurante;United Package;1996-09-12 00:00:00;1996-10-10 00:00:00;57
10305;Old World Delicatessen;Federal Shipping;1996-09-13 00:00:00;1996-10-11 00:00:00;58
10306;Romero y tomillo;Federal Shipping;1996-09-16 00:00:00;1996-10-14 00:00:00;59
10307;Lonesome Pine Restaurant;United Package;1996-09-17 00:00:00;1996-10-15 00:00:00;60
10308;Ana Trujillo Emparedados y helados;Federal Shipping;1996-09-18 00:00:00;1996-10-16 00:00:00;61
10309;Hungry Owl All-Night Grocers;Speedy Express;1996-09-19 00:00:00;1996-10-17 00:00:00;62
10310;The Big Cheese;United Package;1996-09-20 00:00:00;1996-10-18 00:00:00;63
